model_label,supervision,display_name,folder_name,split,metric,value,ci_low,ci_high,ci_half_width,n_samples,n_bootstrap
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,Macro-F1,28.685081495416835,28.290902809144836,32.57403284796272,2.141565019408942,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,UAR,29.28964779320348,28.884267286896076,29.687096873331953,0.4014147932179385,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,Accuracy,47.47223782569243,47.014215961629866,47.92383226029469,0.45480814933240854,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,F1Other,22.755083122180334,21.894076394193153,23.623798711820875,0.8648611588138622,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,JSD,0.32238435588093206,0.3201973912507556,0.32452390974149337,0.0021632592453688926,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,KLD,1.6715900203482166,1.655280364275857,1.6878644692385791,0.01629205248136112,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,Valence CCC,0.6376145528358004,0.6317412800330605,0.6434823611336099,0.005870540550274694,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,Activation CCC,0.6698484509522981,0.6641999549769582,0.6753585495007729,0.005579297261907368,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,Dominance CCC,0.5623367819444542,0.5553799505227264,0.5690778074194207,0.006848928448347169,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test1,Mean CCC,0.6232665952441843,0.6187402833300761,0.6276170790417153,0.004438397855819565,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,Macro-F1,28.364262179117596,27.828130753121172,28.926815631507964,0.5493424391933954,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,UAR,27.10915169261095,26.684180301686133,27.54527538461043,0.4305475414621479,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,Accuracy,44.17966555762001,43.72596465453917,44.63552694119172,0.45478114332627717,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,F1Other,35.96719475643095,35.280150698275484,36.64586864262694,0.6828589721757233,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,JSD,0.3291439970870192,0.3272196170194827,0.33108027463378426,0.0019303288071507718,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,KLD,1.6017405117530574,1.5868606342868288,1.617094665470732,0.015117015591951666,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,Valence CCC,0.6546784049646972,0.6488900882295042,0.6605207736869381,0.005815342728716921,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,Activation CCC,0.678770895264878,0.6732319630715791,0.6842862066969977,0.0055271218127093125,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,Dominance CCC,0.572435796506232,0.5654684608441775,0.5792168129583986,0.006874176057110548,46286,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test1,Mean CCC,0.6352950322452692,0.6308036159847922,0.6396837777012764,0.004440080858242101,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,Macro-F1,28.356133700565454,27.86772380478808,28.844520179862904,0.4883981875374116,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,UAR,28.91600769160212,28.57329968080289,29.263689591640464,0.3451949554187872,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,Accuracy,52.190727217733226,51.73486583416151,52.63367973037204,0.44940694810526316,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,F1Other,0.8514664143803216,0.3703703703703704,1.443036180638491,0.5363329051340604,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,JSD,0.20305374520670713,0.20192345867640646,0.20415747541144103,0.0011170083675172832,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,KLD,0.8512382649921475,0.8453938862182556,0.8570393935014471,0.005822753641595735,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,Valence CCC,0.6709644686230748,0.6653549559165811,0.6766189381188565,0.005631991101137712,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,Activation CCC,0.6748671824280414,0.6692694836074733,0.6803525508524291,0.00554153362247789,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,Dominance CCC,0.5756197053877156,0.5686623201921314,0.5824844347472566,0.006911057277562638,46286,10000
P,KLD,P KLD,LF_a30_soft_prim_kld_tmp1_129073,Test1,Mean CCC,0.6404837854796105,0.6360362146068708,0.6449447136724035,0.004454249532766352,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,Macro-F1,29.370177454326974,28.952995047993262,29.79204458438342,0.41952476819507867,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,UAR,32.903044010219126,32.19959476761752,33.60532906918462,0.702867150783551,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,Accuracy,43.34139912716588,42.894179665557616,43.79077906926501,0.44829970185369383,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,F1Other,12.13657876943881,11.017352008862465,13.297123447820608,1.139885719479071,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,JSD,0.2349728935231835,0.23389160255960462,0.23602165393181812,0.001065025686106752,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,KLD,0.9278258405689728,0.9225146340959899,0.933153387361759,0.005319376632884565,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,Valence CCC,0.6710442333004271,0.6654249430902408,0.6767808632089372,0.005677960059348175,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,Activation CCC,0.6771704429318193,0.6715922763444901,0.6826896927690199,0.005548708212264886,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,Dominance CCC,0.5778224276940814,0.5708223410828811,0.5846894627522082,0.006933560834663566,46286,10000
ML,KLD,ML KLD,LF_a30_soft_merged80_wkld_148910,Test1,Mean CCC,0.6420123679754425,0.6376113250271261,0.6463865295815492,0.004387602277211522,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,Macro-F1,29.21553478389709,28.694194149587904,29.730171100760494,0.5179884755862951,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,UAR,29.07479300326318,28.687922210121307,29.465617298524656,0.3888475442016731,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,Accuracy,54.10707341312708,53.65553299053709,54.554292874735346,0.44937994209912624,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,F1Other,1.3550135501355012,0.5602142886545801,2.228412256267409,0.8340989838064146,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,JSD,0.1889841038817463,0.18791594057852878,0.19004153354064443,0.0010627964810578233,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,KLD,0.8090695583889403,0.8034856339447544,0.8146575351748269,0.00558595061503625,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,Valence CCC,0.6746423651122091,0.668965527273449,0.6803005742758896,0.005667523501220295,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,Activation CCC,0.6847375476237793,0.6792129831961161,0.6901875448676025,0.00548728083574318,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,Dominance CCC,0.5925833117004664,0.5855497149148339,0.5994451718312778,0.006947728458221947,46286,10000
MH,KLD,MH KLD,LF_a30_soft_merged_kld_tmp1_129074,Test1,Mean CCC,0.6506544081454849,0.6461688807067855,0.6550740384784023,0.0044525788858084114,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,Macro-F1,30.385821561995996,29.93526323170077,30.829008846401678,0.4468728073504541,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,UAR,33.056331368071746,32.37965161063767,33.739008822642816,0.6796786060025706,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,Accuracy,45.45867000820983,45.00064814414726,45.905943481830356,0.4526476688415493,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,F1Other,12.746858168761221,11.575533805978255,13.928571428571427,1.1765188112965854,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,JSD,0.22809905257218085,0.22699491664812632,0.22918041767549768,0.0010927505136856808,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,KLD,0.9186131451372421,0.9130211451962243,0.9241428500248893,0.005560852414332462,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,Valence CCC,0.6725662584172223,0.6669067935006,0.6783072227026536,0.005700214601026821,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,Activation CCC,0.6755355334241064,0.6699917808606407,0.6809702902078725,0.005489254673615884,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,Dominance CCC,0.580745926243506,0.5738167465136182,0.5876255680558972,0.0069044107711394576,46286,10000
MH,WKLD,MH WKLD,LF_a30_merged_entropy_curriculum_weight_norm_148156,Test1,Mean CCC,0.6429492393616115,0.6385422867246233,0.6473148552078526,0.004386284241614635,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Macro-F1,34.81444987226273,34.372595167590056,35.29279968177891,0.4601022570944274,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,UAR,27.87173888471685,27.597808049151183,28.150443487930808,0.27631771938981253,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Accuracy,55.08361059499632,54.63423065289721,55.530830056604586,0.4482997018536883,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,F1Other,0.0,0.0,0.0,0.0,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,JSD,0.18505106027061996,0.18404386563203898,0.18604472241578332,0.0010004283918721713,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,KLD,0.7611122484430192,0.7560591572185511,0.7661218496371048,0.005031346209276866,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Valence CCC,0.6719887418071241,0.666440070362661,0.6775412879810986,0.0055506088092188155,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Activation CCC,0.6872267442410714,0.6817627710885062,0.6926237292623805,0.005430479086937112,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Dominance CCC,0.5902921010175203,0.5833200577841134,0.5971119780147607,0.006895960115323618,46286,10000
MH,+F,MH +F,LF_a30_merged_entropy_curriculum_130517,Test1,Mean CCC,0.6498358623552386,0.6454118473116229,0.6542107677951878,0.004399460241782449,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Macro-F1,28.572721884959602,28.057260536276246,29.085267399192354,0.5140034314580544,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,UAR,28.519779100104508,28.150760199628934,28.893745883544785,0.37149284195792664,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Accuracy,54.13948062049,53.68361923691829,54.59323553558312,0.4548081493324141,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,F1Other,1.3351134846461947,0.5498187379630679,2.187924195448135,0.8190527287425337,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,JSD,0.2150600675140235,0.21421507762236747,0.21589885675144033,0.0008418895645364299,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,KLD,0.8050099746754736,0.8009157575541797,0.8091774048285256,0.004130823637172987,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Valence CCC,0.670121347728701,0.6644669908899358,0.6758967619997089,0.005714885554886584,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Activation CCC,0.6842308856366277,0.678720595493938,0.6896926808083225,0.005486042657192214,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Dominance CCC,0.584833980258047,0.5779325974367778,0.5916872843748462,0.006877343469034181,46286,10000
MH,+RF,MH +RF,LF_a30_merged_ec_reversed_filter_quantile_150234,Test1,Mean CCC,0.6463954045411252,0.6419368660117697,0.6508230617027072,0.0044430978454687575,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Macro-F1,27.463921228051298,27.12284791059313,31.32384738631464,2.1004997378607557,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,UAR,28.014303616293308,27.71861607678418,28.319690111213635,0.3005370172147276,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Accuracy,54.99503089487102,54.54559694075962,55.46169468089703,0.45804887006870576,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,F1Other,0.13764624913971096,0.0,0.42765502494654317,0.21382751247327159,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,JSD,0.18551057319640724,0.18452055735430314,0.18649951203176504,0.0009894773387309486,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,KLD,0.7597264452740284,0.7547207215299575,0.7647582036168871,0.0050187410434647806,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Valence CCC,0.6741577422234408,0.6685674447505114,0.6797803494703581,0.005606452359923353,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Activation CCC,0.6846474199154404,0.6791608297423736,0.6900752020305435,0.005457186144084969,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Dominance CCC,0.5823412075018713,0.5753627339774285,0.5891581857798239,0.006897725901197693,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Mean CCC,0.6470487898802508,0.6426319949176147,0.6513712385939596,0.004369621838172466,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Macro-F1,28.69427181289148,28.198765069436156,29.203642424758602,0.5024386776612239,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,UAR,29.140766917655203,28.77355737503792,29.51562026978375,0.37103144737291316,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Accuracy,54.04874043987383,53.59071857581126,54.50033487447609,0.4548081493324141,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,F1Other,1.0796221322537112,0.4048582995951417,1.8894025604551914,0.7422721304300248,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,JSD,0.1900463518990978,0.18901675541759624,0.1910615491049256,0.0010223968436646746,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,KLD,0.7875831089328899,0.7823398401613358,0.7927866284722106,0.0052233941554373775,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Valence CCC,0.6672316012609579,0.661562785662099,0.67291003675969,0.005673625548795469,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Activation CCC,0.6794186571410181,0.6738913442486103,0.6849103165911461,0.005509486171267897,46286,10000
